sourcePageUrl,sourceImageUrl,productName,rightsStatus
https://nordstom.kz/catalog/dental-materials/dublirovanie/pakovka/item-94,https://nordstom.kz/userfiles/item/94/fullimage1.png,Паковочная масса Modelcast,kz_distributor_catalog
https://nordstom.kz/catalog/dental-materials/dublirovanie/pakovka/item-95,https://nordstom.kz/userfiles/item/95/fullimage1.png,Expasol - жидкость для паковочных масс,kz_distributor_catalog
https://nordstom.kz/catalog/dental-materials/dublirovanie/casting-accessories/item-96,https://nordstom.kz/userfiles/item/96/fullimage1.jpg,Муфельные кольца,kz_distributor_catalog
https://nordstom.kz/catalog/dental-materials/dublirovanie/casting-accessories/item-97,https://nordstom.kz/userfiles/item/97/fullimage1.png,Маркер Novy,kz_distributor_catalog
https://nordstom.kz/catalog/dental-materials/dublirovanie/alloys/item-100,https://nordstom.kz/userfiles/item/100/fullimage1.png,Сплав I-BOND 02 никель-хромовый для металлокерамики,kz_distributor_catalog
https://nordstom.kz/catalog/dental-materials/dublirovanie/alloys/item-101,https://nordstom.kz/userfiles/item/101/fullimage1.png,Сплав I-BOND NF кобальто-хромовый для металлокерамики,kz_distributor_catalog
https://nordstom.kz/catalog/dental-materials/dublirovanie/alloys/item-102,https://nordstom.kz/userfiles/item/102/fullimage1.png,Сплав I-MG кобальто-хромовый для бюгелей,kz_distributor_catalog
https://nordstom.kz/catalog/dental-materials/dublirovanie/casting-accessories/item-103,https://nordstom.kz/userfiles/item/103/fullimage1.png,Керамические тигли,kz_distributor_catalog
https://nordstom.kz/catalog/dental-materials/dublirovanie/casting-accessories/item-105,https://nordstom.kz/userfiles/item/105/fullimage1.png,Электролит MG жидкость для электрополировки,kz_distributor_catalog
https://nordstom.kz/catalog/dental-materials/plastic/accessories/item-106,https://nordstom.kz/userfiles/item/106/fullimage1.png,Сеточка для укрепления пластмассы,kz_distributor_catalog
https://nordstom.kz/catalog/dental-materials/plastic/accessories/item-107,https://nordstom.kz/userfiles/item/107/fullimage1.jpg,Проволока для кламмеров,kz_distributor_catalog
https://nordstom.kz/catalog/dental-materials/plastic/plastic/item-108,https://nordstom.kz/userfiles/item/108/fullimage1.png,Interacryl Hot - пластмасса,kz_distributor_catalog
https://nordstom.kz/catalog/dental-materials/plastic/plastic/item-109,https://nordstom.kz/userfiles/item/109/fullimage1.png,Interacryl Cast - пластмасса,kz_distributor_catalog
