sourcePageUrl,sourceImageUrl,productName,rightsStatus
https://binergia.ru/catalog/anesteziologiya/artikain-10-ampul/,https://binergia.ru/upload/iblock/c56/1_%D0%90%D1%80%D1%82%D0%B8%D0%BA%D0%B0%D0%B8%D0%BD-40-%D0%BC%D0%B3-%D0%B0%D0%BC%D0%BF%D1%83%D0%BB%D1%8B-2-%D0%BC%D0%BB-%E2%84%9610.png,Артикаин — Раствор для инъекций 40 мг/мл 10 ампул по 2 мл,public_exact_product_source
https://binergia.ru/catalog/anesteziologiya/artikain-50-kartridjei/,"https://binergia.ru/upload/iblock/35b/1_%D0%90%D1%80%D1%82%D0%B8%D0%BA%D0%B0%D0%B8%D0%BD-40-%D0%BC%D0%B3-%D0%BA%D0%B0%D1%80%D1%82%D1%80%D0%B8%D0%B4%D0%B6%D0%B8-1,7-%D0%BC%D0%BB-%E2%84%9650.png","Артикаин — Раствор для инъекций 40 мг/мл 50 картриджей по 1,7 мл",public_exact_product_source
https://binergia.ru/catalog/anesteziologiya/artikain-s-adrenalinom-10-ampul/,"https://binergia.ru/upload/iblock/8c0/2_%D0%90%D1%80%D1%82%D0%B8%D0%BA%D0%B0%D0%B8%D0%BD-%D1%81-%D0%B0%D0%B4%D1%80%D0%B5%D0%BD%D0%B0%D0%BB%D0%B8%D0%BD%D0%BE%D0%BC-40%200,005,-2-%D0%BC%D0%BB-%D0%B0%D0%BC%D0%BF%D1%83%D0%BB%D1%8B-%E2%84%9610.png","Артикаин с адреналином — Раствор для инъекций (40 мг + 0,005 мг)/мл 10 ампул по 2 мл",public_exact_product_source
https://binergia.ru/catalog/anesteziologiya/artikain-s-adrenalinom-40-mg-0005-mg-50-kartridjei/,"https://binergia.ru/upload/iblock/607/2_%D0%90%D1%80%D1%82%D0%B8%D0%BA%D0%B0%D0%B8%D0%BD-%D1%81-%D0%B0%D0%B4%D1%80%D0%B5%D0%BD%D0%B0%D0%BB%D0%B8%D0%BD%D0%BE%D0%BC-40%200,005,-%D0%BA%D0%B0%D1%80%D1%82%D1%80%D0%B8%D0%B4%D0%B6%D0%B8-1,7-%E2%84%9650.png","Артикаин с адреналином — Раствор для инъекций (40 мг + 0,005 мг)/мл 50 картриджей по 1,7 мл",public_exact_product_source
https://binergia.ru/catalog/anesteziologiya/artikain-s-adrenalinom-40-mg-0005-mg-50-kartridjei-18-ml/,"https://binergia.ru/upload/iblock/cb8/2_%D0%90%D1%80%D1%82%D0%B8%D0%BA%D0%B0%D0%B8%D0%BD-%D1%81-%D0%B0%D0%B4%D1%80%D0%B5%D0%BD%D0%B0%D0%BB%D0%B8%D0%BD%D0%BE%D0%BC-40%200,005,-%D0%BA%D0%B0%D1%80%D1%82%D1%80%D0%B8%D0%B4%D0%B6%D0%B8-1,8-%E2%84%9650.png","Артикаин с адреналином — Раствор для инъекций (40 мг + 0,005 мг)/мл 50 картриджей по 1,8 мл",public_exact_product_source
https://binergia.ru/catalog/anesteziologiya/artikain-s-adrenalinom-forte-50-kartridjei/,"https://binergia.ru/upload/iblock/025/3_%D0%90%D1%80%D1%82%D0%B8%D0%BA%D0%B0%D0%B8%D0%BD-%D1%81-%D0%B0%D0%B4%D1%80%D0%B5%D0%BD%D0%B0%D0%BB%D0%B8%D0%BD%D0%BE%D0%BC-%D1%84%D0%BE%D1%80%D1%82%D0%B5-40%200,01-1,7-%D0%BC%D0%BB-%E2%84%9650.png","Артикаин с адреналином форте — Раствор для инъекций (40 мг + 0,01 мг)/мл 50 картриджей по 1,7 мл",public_exact_product_source
https://binergia.ru/catalog/anesteziologiya/artikain-binergiya-20-mg-ml-ampul-2-ml/,"https://binergia.ru/upload/iblock/a3d/%D0%90%D1%80%D1%82%D0%B8%D0%BA%D0%B0%D0%B8%D0%BD-%D0%91%D0%B8%D0%BD%D0%B5%D1%80%D0%B3%D0%B8%D1%8F%2020%20%D0%BC%D0%B3-%D0%BC%D0%BB,%20%E2%84%9610%20%D0%BF%D0%BE%202%20%D0%BC%D0%BB%20(%D0%BB%D0%B8%D1%86%D0%BE%20-%20%D0%BD%D0%B0%D0%BB%D0%B5%D0%B2%D0%BE)%20(%D0%9F%D0%BE%D0%BB%D1%8C%D0%B7%D0%BE%D0%B2%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%BE%D0%B5).png",Артикаин-Бинергия — Раствор для инъекций 20 мг/мл ампулы 2 мл No 10,public_exact_product_source
https://binergia.ru/catalog/anesteziologiya/artikain-binergiya-20-mg-kartridji-17-ml/,"https://binergia.ru/upload/iblock/726/%D0%90%D1%80%D1%82%D0%B8%D0%BA%D0%B0%D0%B8%D0%BD-%D0%91%D0%B8%D0%BD%D0%B5%D1%80%D0%B3%D0%B8%D1%8F_10-%D0%B0%D0%BC%D0%BF%D1%83%D0%BB_1,7-%D0%BC%D0%BB.png","Артикаин-Бинергия — Раствор для инъекций 20 мг/мл картриджи 1,7 мл No 10",public_exact_product_source
https://binergia.ru/catalog/anesteziologiya/artikain-binergiya-s-adrenalinom-20-mg-0005-mg-10-ampul-po-2-ml/,https://binergia.ru/upload/iblock/a26/%D0%90%D1%80%D1%82%D0%B8%D0%BA%D0%B0%D0%B8%D0%BD-%D0%91%D0%B8%D0%BD%D0%B5%D1%80%D0%B3%D0%B8%D1%8F-%D1%81-%D0%B0%D0%B4%D1%80%D0%B5%D0%BD%D0%B0%D0%BB%D0%B8%D0%BD%D0%BE%D0%BC_10-%D0%B0%D0%BC%D0%BF%D1%83%D0%BB_2-%D0%BC%D0%BB.png,"Артикаин-Бинергия с адреналином — Раствор для инъекций (20 мг + 0,005 мг)/мл 10 ампул по 2мл",public_exact_product_source
https://binergia.ru/catalog/anesteziologiya/mepivakain-binergiya/,"https://binergia.ru/upload/iblock/be7/%D0%9C%D0%B5%D0%BF%D0%B8%D0%B2%D0%B0%D0%BA%D0%B0%D0%B8%D0%BD-%D0%91%D0%B8%D0%BD%D0%B5%D1%80%D0%B3%D0%B8%D1%8F%2030%20%D0%BC%D0%B3%20%E2%84%9650%20%D0%BF%D0%BE%201,8%20%D0%BC%D0%BB%20(%D0%BA%D0%B0%D1%80%D1%82%D1%80%D0%B8%D0%B4%D0%B6%D0%B8)%20(%D0%9F%D0%BE%D0%BB%D1%8C%D0%B7%D0%BE%D0%B2%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%BE%D0%B5).png","Мепивакаин-Бинергия — Раствор для инъекций 30 мг/мл картриджи 1,8 мл No 50",public_exact_product_source
