source,supplierName,sourceUrl,externalId,name,brand,manufacturer,category,unit,currency,price,quantity,catalogOnly,description
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/sandblasting/item-115,interdent-kz-115,Пемза Interdent,Interdent,Interdent d.o.o.,Пескоструйные материалы,шт,,,,true,"Пемза вулканического происхождения, очень чистая, идеальной зернистости для полировки пластмасс в зуботехнической лаборатории, 4 кг"
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-116,interdent-kz-116,Паста полировочная для сплавов,Interdent,Interdent d.o.o.,Полировочные материалы,шт,,,,true,Высококачественные полировочные пасты для сухой предварительной полировки различных дентальных сплавов.
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-117,interdent-kz-117,Универсальная полировочная паста,Interdent,Interdent d.o.o.,Полировочные материалы,шт,,,,true,"Полировочная паста высокого глянца для полировки драгоценных и недрагоценных сплавов, телескопических работ, конусов, атачменов, керамики, композитов."
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-118,interdent-kz-118,Паста полировочная Unilesk для пластмассы,Interdent,Interdent d.o.o.,Полировочные материалы,шт,,,,true,100 гр
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-119,interdent-kz-119,Фильцы для полирования,Interdent,Interdent d.o.o.,Полировочные материалы,шт,,,,true,Фильцы разных форм для полирования зуботехнических конструкций. Форма и размер выбираются в варианте товара.
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-120,interdent-kz-120,Полировочные щетки для полировочного мотора,Interdent,Interdent d.o.o.,Полировочные материалы,шт,,,,true,Полировочные щетки изготавливаются из натуральных и экологически чистых материалов (с деревянной сердцевиной). Щетки быстро и хорошо полируют все дентальные сплавы и пластмассы.
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-121,interdent-kz-121,Полировочные щётки,Interdent,Interdent d.o.o.,Полировочные материалы,шт,,,,true,Щётки для обработки и полирования зуботехнических материалов. Материал и размер выбираются в варианте товара.
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/processing-sandblasting/polish/item-122,interdent-kz-122,Наждачная лента,Interdent,Interdent d.o.o.,Полировочные материалы,шт,,,,true,Абразивная лента для зуботехнических работ. Зернистость выбирается в варианте товара.
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/accessories-for-working-with-ceramics/item-123,interdent-kz-123,Кисточки для нанесения керамики,Interdent,Interdent d.o.o.,Принадлежности для керамики,шт,,,,true,Синтетика
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/materials-for-clinical-dentistry/item-124,interdent-kz-124,Артикуляционная бумага Interdent 80 мкм,Interdent,Interdent d.o.o.,Материалы для клинической стоматологии,шт,,,,true,"Артикуляционная бумага, 80 микрон. Для определения окклюзионных и артикуляционных отклонений в естественном прикусе и протезах в зубоврачебном кабинете или в зуботехнической лаборатории."
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/wax/item-125,interdent-kz-125,Восковая проволока на катушке,Interdent,Interdent d.o.o.,Зуботехнические воски,шт,,,,true,"Эластичная и стабильная восковая проволока для литников, применяется при изготовлении коронок, мостов и бюгельных протезов. Изготавливается двух различных твердостей."
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/wax/item-126,interdent-kz-126,Восковые профили,Interdent,Interdent d.o.o.,Зуботехнические воски,шт,,,,true,"Разнообразие восковых стержней различной толщины и формы всегда гарантирует правильный выбор. Оптимальная смесь различных восков обеспечивает стабильную форму и облегчает работу в зуботехнической лаборатории. Предлагаются два качества: средне-твёрдая - синяя, твердая - зелёная."
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/modeling/auxiliary-tools-for-modeling/item-127,interdent-kz-127,Спрей Interwaxit для обезжиривания восковых конструкций,Interdent,Interdent d.o.o.,Зуботехнические материалы,шт,,,,true,Средство для обезжиривания восковой конструкции перед паковкой. Объём выбирается в варианте товара.
interdent-kz,Interdent,https://nordstom.kz/catalog/dental-materials/modeling/auxiliary-tools-for-modeling/item-128,interdent-kz-128,Окклюзионный спрей Interdent,Interdent,Interdent d.o.o.,Зуботехнические материалы,шт,,,,true,Для припасовки отлитых коронок на гипсовую модель в зуботехнической лаборатории. В зубоврачебном кабинете для припасовки готовых коронок и мостов.
