officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,model,variantCount,categoryPath,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
CICADA-191,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",LED Curing Light CV-215(G6)A,CV-215(G6)A,CV-215(G6)A,CV-215(G6)A,1,CICADA / CuringLight,https://www.cicadadental.com/Uploads/202306/led_curing_light.jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/CuringLight_191.html
CICADA-203,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",LED Curing Light CV-215(G6)B,CV-215(G6)B,CV-215(G6)B,CV-215(G6)B,1,CICADA / CuringLight,https://www.cicadadental.com/Uploads/202507/6b01.jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/CuringLight_203.html
CICADA-121,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",LED Curing Light CV-215(I),CV-215(I),CV-215(I),CV-215(I),1,CICADA / CuringLight,https://www.cicadadental.com/Uploads/202112/1228161101.jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/CuringLight_121.html
CICADA-197,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",LED Curing Light CV-215(IV),CV-215(IV),CV-215(IV),CV-215(IV),1,CICADA / CuringLight,https://www.cicadadental.com/Uploads/202306/curing_light_a.jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/CuringLight_197.html
CICADA-192,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",LED Curing Light Guangzhou Tower CV-215(G6),CV-215(G6),CV-215(G6),CV-215(G6),1,CICADA / CuringLight,https://www.cicadadental.com/Uploads/202306/led_curing_light001.jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/CuringLight_192.html
CICADA-123,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",LED Curing Light Wide-spectrum CV-215(G3),CV-215(G3),CV-215(G3),CV-215(G3),1,CICADA / CuringLight,https://www.cicadadental.com/Uploads/202112/1228162201.jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/CuringLight_123.html
CICADA-161,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",Low Speed Contra Angle Handpiece 1:1 CV/DX CL02,CV/DX CL02,CV/DX CL02,CV/DX CL02,1,CICADA / ExternalWatersprayLowSpeedHandpiece,https://www.cicadadental.com/Uploads/202204/contra_angle_handpiece.jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/ExternalWatersprayLowSpeedHandpiece_161.html
CICADA-162,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",Low Speed Contra Angle Handpiece Latch Type 1:1 CV/DX CL021,CV/DX CL021,CV/DX CL021,CV/DX CL021,1,CICADA / ExternalWatersprayLowSpeedHandpiece,https://www.cicadadental.com/Uploads/202204/contra_angle(latch_type).jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/ExternalWatersprayLowSpeedHandpiece_162.html
CICADA-207,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",Max-one Endo Files DT-C3 MX,DT-C3 MX,DT-C3 MX,DT-C3 MX,1,CICADA / EndoFiles,https://www.cicadadental.com/Uploads/202507/mx01.jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/EndoFiles_207.html
CICADA-204,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",Mini Endo Motor T-Fine-II(Pura),T-Fine-II(Pura),T-Fine-II(Pura),T-Fine-II(Pura),1,CICADA / EndoMotor,https://www.cicadadental.com/Uploads/202507/pura01.jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/EndoMotor_204.html
CICADA-188,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",Negative Pressure Irrigation System DT-1/DT-2,DT-1/DT-2,DT-1/DT-2,DT-1/DT-2,1,CICADA / NegativePressureIrrigationSystem,https://www.cicadadental.com/Uploads/202306/oral_irrigator.jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/NegativePressureIrrigationSystem_188.html
CICADA-208,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",Niti Protaper Hand Files DT-C3 H6,DT-C3 H6,DT-C3 H6,DT-C3 H6,1,CICADA / EndoFiles,https://www.cicadadental.com/Uploads/202507/hf01.jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/EndoFiles_208.html
CICADA-185,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",Oral Anesthesia Injector CV-OA 02,CV-OA 02,CV-OA 02,CV-OA 02,1,CICADA / OralAnesthesiaInjector,https://www.cicadadental.com/Uploads/202306/oral_anesthesia_injector.jpg,6,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/OralAnesthesiaInjector_185.html
CICADA-183,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",Prophy Handpiece CV/DX,CV/DX,CV/DX,CV/DX,1,CICADA / PMTCSYSTEM,https://www.cicadadental.com/Uploads/202306/prophy_handpiece.jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/PMTCSYSTEM_183.html
CICADA-205,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",Rainbow Endo files DT-C3 RW6,DT-C3 RW6,DT-C3 RW6,DT-C3 RW6,1,CICADA / EndoFiles,https://www.cicadadental.com/Uploads/202507/rw01.jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/EndoFiles_205.html
CICADA-206,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",Retreament Endo Files DT-C3 RT5,DT-C3 RT5,DT-C3 RT5,DT-C3 RT5,1,CICADA / EndoFiles,https://www.cicadadental.com/Uploads/202507/rt01.jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/EndoFiles_206.html
CICADA-189,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",Root Canal Irrigation Needle S-26G-26,S-26G-26,S-26G-26,S-26G-26,1,CICADA / EndoIrrigationNeedles,https://www.cicadadental.com/Uploads/202306/root_canal_irrigation_needle.jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/EndoIrrigationNeedles_189.html
CICADA-200,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",Surgical Implant Motor Surgic Plus,Surgic Plus,Surgic Plus,Surgic Plus,1,CICADA / ImplantMotor,https://www.cicadadental.com/Uploads/202507/01.jpg,6,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/ImplantMotor_200.html
CICADA-202,CICADA,"Foshan Cicada Dental Instrument Co., Ltd.",Touch Screen Built-in Electric Micro Motor NL 400-1（Remark：Spin）,NL 400-1（Remark：Spin）,NL 400-1（Remark：Spin）,NL 400-1（Remark：Spin）,1,CICADA / ElectricMotor,https://www.cicadadental.com/Uploads/202507/1752228810.jpg,5,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.cicadadental.com/ElectricMotor_202.html
