officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
GENORAY-PAPAYA-PLUS,Genoray,"GENORAY Co., Ltd.",Genoray PAPAYA Plus,PAPAYA Plus,PAPAYA Plus,1,Dental imaging > 2D,,https://www.genorayamerica.com/include/images/sub/dental/dental_list_papayaplus.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.genorayamerica.com/dental/papaya_plus/
GENORAY-GT300,Genoray,"GENORAY Co., Ltd.",Genoray GT300,GT300,GT300,1,Dental imaging > 3D,,https://www.genorayamerica.com/include/images/sub/dental/dental_list_gt300.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.genorayamerica.com/dental/gt300/
GENORAY-PAPAYA-3D-PREMIUM-PLUS,Genoray,"GENORAY Co., Ltd.",Genoray PAPAYA 3D Premium Plus,PAPAYA 3D Premium Plus,PAPAYA 3D Premium Plus,1,Dental imaging > 3D,,https://www.genorayamerica.com/include/images/sub/dental/dental_list_papaya3dpremiumplus.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.genorayamerica.com/dental/papaya3d_premium/
GENORAY-PAPAYA-3D-PLUS,Genoray,"GENORAY Co., Ltd.",Genoray PAPAYA 3D Plus,PAPAYA 3D Plus,PAPAYA 3D Plus,1,Dental imaging > 3D,,https://www.genorayamerica.com/include/images/sub/dental/dental_list_papaya3dplus.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.genorayamerica.com/dental/papaya3d_plus/
GENORAY-DVAS,Genoray,"GENORAY Co., Ltd.",Genoray DVAS,DVAS,DVAS,1,Dental imaging > IOS/IOX,,https://www.genorayamerica.com/include/images/sub/dental/dental_list_dvas.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.genorayamerica.com/dental/dvas/
GENORAY-ZEN-PX4,Genoray,"GENORAY Co., Ltd.",Genoray ZEN-PX4,ZEN-PX4,ZEN-PX4,1,Dental imaging > IOS/IOX,,https://www.genorayamerica.com/include/images/sub/dental/dental_list_zenpx4.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.genorayamerica.com/dental/portx_iv/
GENORAY-ZEN-PX2,Genoray,"GENORAY Co., Ltd.",Genoray ZEN-PX2,ZEN-PX2,ZEN-PX2,1,Dental imaging > IOS/IOX,,https://www.genorayamerica.com/include/images/sub/dental/dental_list_xii.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.genorayamerica.com/dental/portx_ii/
GENORAY-GENX-CR,Genoray,"GENORAY Co., Ltd.",Genoray GENX-CR,GENX-CR,GENX-CR,1,Dental imaging > IOS/IOX,,https://www.genorayamerica.com/include/images/sub/dental/genx_cr/sumarray_img.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.genorayamerica.com/dental/genx_cr/
GENORAY-GIX-1,Genoray,"GENORAY Co., Ltd.",Genoray GIX-1,GIX-1,GIX-1,1,Dental imaging > IOS/IOX,,https://www.genorayamerica.com/include/images/sub/dental/dental_list_portview.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.genorayamerica.com/dental/gix_1/
