officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
VOCO-CALCIMOL,VOCO,VOCO GmbH,Calcimol,1097,1097,1,VOCO / direct-restoration / liner,https://www.voco.dental/en/portaldata/1/resources/products/pacshots/gb/calcimol_pac_gb.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.voco.dental/en/products/direct-restoration/liner/calcimol.aspx
VOCO-CALCIMOL-LC,VOCO,VOCO GmbH,Calcimol LC,1047,1047 | 1307,2,VOCO / direct-restoration / liner,https://www.voco.dental/en/portaldata/1/resources/products/pacshots/gb/calcimol-lc_pac_gb.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.voco.dental/en/products/direct-restoration/liner/calcimol-lc.aspx
VOCO-CAPS-DISPENSER,VOCO,VOCO GmbH,Caps Dispenser,9301,9301,1,VOCO / various-products / small-devices,https://www.voco.dental/en/portaldata/1/resources/products/pacshots/gb/caps-dispenser_pac_gb.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.voco.dental/en/products/various-products/small-devices/caps-dispenser.aspx
VOCO-CAPS-WARMER,VOCO,VOCO GmbH,Caps Warmer,9001,9001 | 9003,2,VOCO / various-products / devices,https://www.voco.dental/en/portaldata/1/resources/products/pacshots/gb/caps-warmer_pac_gb.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.voco.dental/en/products/various-products/devices/caps-warmer.aspx
VOCO-CARIES-MARKER,VOCO,VOCO GmbH,Caries Marker,1005,1005,1,VOCO / various-products / others,https://www.voco.dental/en/portaldata/1/resources/products/pacshots/gb/caries-marker_pac_gb.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.voco.dental/en/products/various-products/others/caries-marker.aspx
VOCO-CELALUX-3,VOCO,VOCO GmbH,Celalux 3,9090,9090,1,VOCO / various-products / devices,https://www.voco.dental/en/portaldata/1/resources/products/pacshots/gb/celalux-3_pac_gb.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.voco.dental/en/products/various-products/devices/celalux-3.aspx
VOCO-CERAMIC-BOND,VOCO,VOCO GmbH,Ceramic Bond,1106,1106 | 1107,2,VOCO / indirect-restoration / luting,https://www.voco.dental/en/portaldata/1/resources/products/pacshots/gb/ceramic-bond_pac_gb.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.voco.dental/en/products/indirect-restoration/luting/ceramic-bond.aspx
VOCO-CIMARA,VOCO,VOCO GmbH,Cimara,1196,1196 | 1197 | 1198 | 1575,4,VOCO / indirect-restoration / repair,https://www.voco.dental/en/portaldata/1/resources/products/pacshots/gb/cimara_pac_gb.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.voco.dental/en/products/indirect-restoration/repair/cimara.aspx
VOCO-CLEANJOY,VOCO,VOCO GmbH,CleanJoy,,,1,VOCO / oral-care / prophylaxis,https://www.voco.dental/en/portaldata/1/resources/products/pacshots/gb/cleanjoy_pac_gb.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://www.voco.dental/en/products/oral-care/prophylaxis/cleanjoy.aspx
VOCO-CLIP,VOCO,VOCO GmbH,Clip,1284,1284 | 1285 | 1287,3,VOCO / indirect-restoration / temporaries,https://www.voco.dental/en/portaldata/1/resources/products/pacshots/gb/clip_pac_gb.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.voco.dental/en/products/indirect-restoration/temporaries/clip.aspx
VOCO-CLIP-F,VOCO,VOCO GmbH,Clip F,1288,1288 | 1289 | 1283,3,VOCO / indirect-restoration / temporaries,https://www.voco.dental/en/portaldata/1/resources/products/pacshots/gb/clip-f_pac_gb.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.voco.dental/en/products/indirect-restoration/temporaries/clip-f.aspx
VOCO-CLIP-FLOW,VOCO,VOCO GmbH,Clip Flow,1282,1282,1,VOCO / indirect-restoration / temporaries,https://www.voco.dental/en/portaldata/1/resources/products/pacshots/gb/clip-flow_pac_gb.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://www.voco.dental/en/products/indirect-restoration/temporaries/clip-flow.aspx
