officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,model,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
STRAUSS-G5C,Strauss,Strauss & Co. Industrial Diamonds Ltd.,Round Wheel Diamond Bur,G5C,G5C,G5C,1,Round Wheel,Round Wheel Diamond Bur,https://dental.strauss-co.com/wp-content/uploads/products_photo/G5C.jpg,1,BRAND_OBSERVED_AT_KAZAKHSTAN_RETAILER,KZ_SKU_EVIDENCE_REQUIRED,https://dental.strauss-co.com/products/g5/
STRAUSS-G5F,Strauss,Strauss & Co. Industrial Diamonds Ltd.,Round Wheel Diamond Bur,G5F,G5F,G5F,1,Round Wheel,Round Wheel Diamond Bur,https://dental.strauss-co.com/wp-content/uploads/products_photo/G5F.JPG,1,BRAND_OBSERVED_AT_KAZAKHSTAN_RETAILER,KZ_SKU_EVIDENCE_REQUIRED,https://dental.strauss-co.com/products/g5-2/
STRAUSS-G5M,Strauss,Strauss & Co. Industrial Diamonds Ltd.,Round Wheel Diamond Bur,G5M,G5M,G5M,1,Round Wheel,Round Wheel Diamond Bur,https://dental.strauss-co.com/wp-content/uploads/products_photo/G5M.webp,1,BRAND_OBSERVED_AT_KAZAKHSTAN_RETAILER,KZ_SKU_EVIDENCE_REQUIRED,https://dental.strauss-co.com/products/g5-3/
STRAUSS-G5SC,Strauss,Strauss & Co. Industrial Diamonds Ltd.,Round Wheel Diamond Bur,G5SC,G5SC,G5SC,1,Round Wheel,Round Wheel Diamond Bur,https://dental.strauss-co.com/wp-content/uploads/products_photo/G5SC.JPG,1,BRAND_OBSERVED_AT_KAZAKHSTAN_RETAILER,KZ_SKU_EVIDENCE_REQUIRED,https://dental.strauss-co.com/products/g5-4/
STRAUSS-G31-X,Strauss,Strauss & Co. Industrial Diamonds Ltd.,Depth Cutting Diamond Bur,G31-X,G31-X,G31-X,1,Depth Cutting,Depth Cutting Diamond Bur,https://dental.strauss-co.com/wp-content/uploads/products_photo/G31-X.jpg,1,BRAND_OBSERVED_AT_KAZAKHSTAN_RETAILER,KZ_SKU_EVIDENCE_REQUIRED,https://dental.strauss-co.com/products/g31-x/
STRAUSS-G32-X,Strauss,Strauss & Co. Industrial Diamonds Ltd.,Depth Cutting Diamond Bur,G32-X,G32-X,G32-X,1,Depth Cutting,Depth Cutting Diamond Bur,https://dental.strauss-co.com/wp-content/uploads/products_photo/G32-X.jpg,1,BRAND_OBSERVED_AT_KAZAKHSTAN_RETAILER,KZ_SKU_EVIDENCE_REQUIRED,https://dental.strauss-co.com/products/g32-x/
STRAUSS-G33-X,Strauss,Strauss & Co. Industrial Diamonds Ltd.,Depth Cutting Diamond Bur,G33-X,G33-X,G33-X,1,Depth Cutting,Depth Cutting Diamond Bur,https://dental.strauss-co.com/wp-content/uploads/products_photo/G33-X.jpg,1,BRAND_OBSERVED_AT_KAZAKHSTAN_RETAILER,KZ_SKU_EVIDENCE_REQUIRED,https://dental.strauss-co.com/products/g33-x/
STRAUSS-G34-X,Strauss,Strauss & Co. Industrial Diamonds Ltd.,Depth Cutting Diamond Bur,G34-X,G34-X,G34-X,1,Depth Cutting,Depth Cutting Diamond Bur,https://dental.strauss-co.com/wp-content/uploads/products_photo/G34-X.jpg,1,BRAND_OBSERVED_AT_KAZAKHSTAN_RETAILER,KZ_SKU_EVIDENCE_REQUIRED,https://dental.strauss-co.com/products/g34-x/
STRAUSS-G041C,Strauss,Strauss & Co. Industrial Diamonds Ltd.,Double Inverted Cone Diamond Bur,G041C,G041C,G041C,1,Double Inverted Cone,Double Inverted Cone Diamond Bur,https://dental.strauss-co.com/wp-content/uploads/products_photo/G041C.jpg,1,BRAND_OBSERVED_AT_KAZAKHSTAN_RETAILER,KZ_SKU_EVIDENCE_REQUIRED,https://dental.strauss-co.com/products/g041/
STRAUSS-G041M,Strauss,Strauss & Co. Industrial Diamonds Ltd.,Round Wheel Diamond Bur,G041M,G041M,G041M,1,Round Wheel,Round Wheel Diamond Bur,https://dental.strauss-co.com/wp-content/uploads/products_photo/G041M.jpg,1,BRAND_OBSERVED_AT_KAZAKHSTAN_RETAILER,KZ_SKU_EVIDENCE_REQUIRED,https://dental.strauss-co.com/products/g041-2/
