"productId","productName","brand","manufacturer","manufacturerRefs","sourceUrl","priority","currentMediaStatus","rightsStatus","status","acceptanceRule"
"public-620916baedbbf1bd73adf8d3","Кюрета пародонтологическая","","","","https://amdgroup.kz/catalog/kyurety/kyureta_parodontologicheskaya/","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-70edbabd5e2270c5390849b2","Кюрета пародонтологическая 203 204XSI","","","","https://amdgroup.kz/catalog/kyurety/kyureta_parodontologicheskaya_203_204xsi/","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-eeb21ffd2e191a2b4f03f05b","Кюрета пародонтологическая граке T 16 17 мини мес дис","","","","https://amdgroup.kz/catalog/kyurety/kyureta_parodontologicheskaya_grace_t_16_17_mini_mes_dis/","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-52641274cb721485ce07322a","Кюрета пародонтологическая гракей 11 12 мини SD","","","","https://amdgroup.kz/catalog/kyurety/kyureta_parodontologicheskaya_gracey_11_12_mini_sd_/","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-ca36e0735a20212a19b4fda6","Кюрета пародонтологическая мини сиккле SD 311 312SDES","","","","https://amdgroup.kz/catalog/kyurety/kyureta_parodontologicheskaya_mini_sickle_sd_311_312sdes_/","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-bfc8e349e0771f07d4936b7f","Кюрета рекалл кфк 3SHT","","","","https://amdgroup.kz/catalog/kyurety/kyureta_recall_cfk_3sht/","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-420eb837c8c9a8f5ea5478fd","Кюретки 207 208XSI","","","","https://amdgroup.kz/catalog/kyurety/kyuretki_207_208xsi/","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-004266cbf38c26ace5903c53","Кюретки костне 211 212 ксси","","","","https://amdgroup.kz/catalog/kyurety/kyuretki_kostnye_211_212_xsi/","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-baad8bc0751b998f7af87833","Кюреты стоматологические","LM Dental","LM Dental","","https://amdgroup.kz/catalog/materialy_/","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-bf136f6d28f6daa829800934","Лампа для отбеливанияз зубов","","","","https://a4d.kz/content/lampa-dlya-otbelivaniyaz-zubov","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-813a5d1d0c6fd3f758f0d82f","Лампа на установку галоген LA-H1 23-04","","","","https://a4d.kz/content/lampa-na-ustanovku-galogen-la-h1-23-04","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
