officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
CASTELLINI-PUMA-ELI-R,Castellini,Cefla S.C.,Puma Eli R,,,1,Стоматологические установки,The Castellini Puma Eli R dental chair is an Italian-made dental unit with an unmistakable design and extreme flexibility. Discover it on the site.,,0,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,PHOTO_REQUIRED,https://www.castellini.com/en/dental-units/puma-eli-r
CASTELLINI-SKEMA-5,Castellini,Cefla S.C.,Skema 5,,,1,Стоматологические установки,The Castellini Skema 5 dental unit is an easy-to-use and compact Italian-made dental unit. Discover it on the site.,,0,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,PHOTO_REQUIRED,https://www.castellini.com/en/dental-units/skema-5
CASTELLINI-SKEMA-6,Castellini,Cefla S.C.,Skema 6,,,1,Стоматологические установки,The Castellini Skema 6 dental unit is an Italian-made dental unit capable of supporting every clinical need. Discover it on the site.,,0,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,PHOTO_REQUIRED,https://www.castellini.com/en/dental-units/skema-6
CASTELLINI-SKEMA-8,Castellini,Cefla S.C.,Skema 8,,,1,Стоматологические установки,The Skema 8 dental chair is a dental unit designed to facilitate superior performance in every procedure. Discover it on the site.,,0,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,PHOTO_REQUIRED,https://www.castellini.com/en/dental-units/skema-8
CASTELLINI-SURGICAL-CART,Castellini,Cefla S.C.,Surgical Cart,,,1,Стоматологические установки,"The Castellini Surgical Cart offers the dentist the potential to practise implantology and endodontics at the highest levels, without being tied to a chair.",,0,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,PHOTO_REQUIRED,https://www.castellini.com/en/dental-units/surgical-cart
CASTELLINI-CASTELLINI-SYRINGES,Castellini,Cefla S.C.,Castellini Syringes,,,1,Стоматологические шприцы,"Castellini dental syringes offer precise and delicate control during therapies, ensuring comfort and safety for the patient in every treatment.",,0,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,PHOTO_REQUIRED,https://www.castellini.com/en/dental-units/syringes
CASTELLINI-C7-STOOL,Castellini,Cefla S.C.,C7 Stool,,,1,Стулья врача и ассистента,"Discover the Castellini range of dental stools: functional, comfortable, and ergonomic solutions for the dental team.",,0,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,PHOTO_REQUIRED,https://www.castellini.com/en/dental-units/stools
CASTELLINI-C8-STOOL,Castellini,Cefla S.C.,C8 Stool,,,1,Стулья врача и ассистента,"Discover the Castellini range of dental stools: functional, comfortable, and ergonomic solutions for the dental team.",https://www.castellini.com/hs-fs/hubfs/CASTELLINI/Images/c8.jpg?width=828&height=540&name=c8.jpg,1,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,MANUFACTURER_REFERENCE_REQUIRED,https://www.castellini.com/en/dental-units/stools
CASTELLINI-C9-STOOL,Castellini,Cefla S.C.,C9 Stool,,,1,Стулья врача и ассистента,"Discover the Castellini range of dental stools: functional, comfortable, and ergonomic solutions for the dental team.",,0,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,PHOTO_REQUIRED,https://www.castellini.com/en/dental-units/stools
CASTELLINI-HMD-ACCESSORY,Castellini,Cefla S.C.,HMD accessory,,,1,Термодезинфекторы,Castellini washer-disinfectors guarantee effective and safe washing and thermal disinfection for dental equipment: guarantee and reliability.,,0,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,PHOTO_REQUIRED,https://www.castellini.com/en/sterilisation/thermodisinfectors
CASTELLINI-TETHYS,Castellini,Cefla S.C.,Tethys,,,1,Термодезинфекторы,Castellini washer-disinfectors guarantee effective and safe washing and thermal disinfection for dental equipment: guarantee and reliability.,https://www.castellini.com/hubfs/CASTELLINI/Images/h10plus.jpg,1,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,MANUFACTURER_REFERENCE_REQUIRED,https://www.castellini.com/en/sterilisation/thermodisinfectors
CASTELLINI-TETHYS-H10,Castellini,Cefla S.C.,Tethys H10,,,1,Термодезинфекторы,Castellini washer-disinfectors guarantee effective and safe washing and thermal disinfection for dental equipment: guarantee and reliability.,https://www.castellini.com/hubfs/CASTELLINI/Images/h10plus.jpg,1,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,MANUFACTURER_REFERENCE_REQUIRED,https://www.castellini.com/en/sterilisation/thermodisinfectors
CASTELLINI-MILLSEAL-ROLLING,Castellini,Cefla S.C.,Millseal Rolling,,,1,Упаковочное оборудование,Castellini dental sealing machines offer the guarantee of optimal protection against contamination in the pre-sterilisation packaging process.,https://www.castellini.com/hubfs/CASTELLINI/Images/Rolling.jpg,1,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,MANUFACTURER_REFERENCE_REQUIRED,https://www.castellini.com/en/sterilisation/sealing-machines
CASTELLINI-MILLSEAL-EVO,Castellini,Cefla S.C.,Millseal+ EVO,,,1,Упаковочное оборудование,Castellini dental sealing machines offer the guarantee of optimal protection against contamination in the pre-sterilisation packaging process.,https://www.castellini.com/hubfs/CASTELLINI/Images/millsealEVO.jpg,1,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,MANUFACTURER_REFERENCE_REQUIRED,https://www.castellini.com/en/sterilisation/sealing-machines
CASTELLINI-MILLSEAL-MANUAL,Castellini,Cefla S.C.,Millseal+ Manual,,,1,Упаковочное оборудование,Castellini dental sealing machines offer the guarantee of optimal protection against contamination in the pre-sterilisation packaging process.,https://www.castellini.com/hubfs/CASTELLINI/Images/millsealMANUAL.jpg,1,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,MANUFACTURER_REFERENCE_REQUIRED,https://www.castellini.com/en/sterilisation/sealing-machines
CASTELLINI-X-RADIUS-TRIO-PLUS,Castellini,Cefla S.C.,X-RADiUS TRiO PLUS,,,1,Экстраоральная визуализация,"Discover Castellini extraoral systems: equipped with advanced technology, they boost workflow efficiency and guarantee top-of-the-range quality.",,0,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,PHOTO_REQUIRED,https://www.castellini.com/en/extraoral-devices
CASTELLINI-X-RADIUS-TRIO-PLUS-FULLVIEW,Castellini,Cefla S.C.,X-RADiUS TRiO PLUS FullView,,,1,Экстраоральная визуализация,"Discover Castellini extraoral systems: equipped with advanced technology, they boost workflow efficiency and guarantee top-of-the-range quality.",,0,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,PHOTO_REQUIRED,https://www.castellini.com/en/extraoral-devices
