officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,variantEvidence,categoryPath,description,sourceImageUrl,imageCount,sourceModifiedAt,kzEvidence,status,sourcePageUrl
MADESPA-VENTURA-OXIDO-DE-ALUMINIO,Madespa,MADESPA S.A.,Ventura Óxido de Aluminio de Madespa,,,1,,Паковочные и пескоструйные материалы,Ventura Óxido de Aluminio. Una alúmina con cristalización controlada de alta dureza,https://www.madespa.com/web/image/11392-2c01a701/1.jpg,1,2026-04-24,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.madespa.com/ventura-oxido-de-aluminio
MADESPA-VENTURA-PENTALUX,Madespa,MADESPA S.A.,Ventura Pentalux,,,1,,Акриловые зубы,Dientes acrílicos de 5 capas Ventura Pentalux para los trabajos más exigentes con gran resistencia a la absorción,https://www.madespa.com/web/image/11257-14989cff/1.jpg,1,2026-05-26,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.madespa.com/ventura-pentalux
MADESPA-VENTURA-PERLAS-DE-VIDRIO,Madespa,MADESPA S.A.,Ventura Perlas de Vidrio de Madespa,,,1,,Паковочные и пескоструйные материалы,Microesferas de sodio sin plomo Ventura Perlas de Vidrio especial para la limpieza y acabado de superficies metálicas,https://www.madespa.com/web/image/11390-3ff825f6/1.jpg,1,2026-04-24,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.madespa.com/ventura-perlas-de-vidrio
MADESPA-VENTURA-PMMA-BLOCK,Madespa,MADESPA S.A.,Ventura PMMA Block,,,1,,PMMA-диски,Los Discos PMMA para fresadora CAD-CAM Ventura PMMA Block destacan por su alta estética,https://www.madespa.com/web/image/11269-6102d875/5.jpg,1,2026-04-24,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.madespa.com/ventura-pmma-block
MADESPA-VENTURA-RESINDIE-ROCK,Madespa,MADESPA S.A.,Ventura Resindie Rock,,,1,,Стоматологические гипсы,,https://www.madespa.com/web/image/website/1/logo?unique=526be15,1,2026-07-16,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.madespa.com/ventura-resindie-rock
MADESPA-VENTURA-SEAL,Madespa,MADESPA S.A.,Ventura Seal,,,1,,Реставрационные материалы,El sellador de fosas y fisuras Ventura Seal asegura un perfecto sellado aún en las fosas más profunda,https://www.madespa.com/web/image/11143-1c7dc0ea/Composite-Ventura-seal-192.jpg,1,2026-04-24,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.madespa.com/ventura-seal
MADESPA-VENTURA-SIMILUX,Madespa,MADESPA S.A.,Ventura Similux,,,1,,Реставрационные материалы,Composite Microhíbrido Ventura Similux de alta resistendia a la compresión y abrasión,https://www.madespa.com/web/image/11101-d47005e0/Composite-ventura-similux-II-38.jpg,1,2026-04-24,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.madespa.com/ventura-similux
MADESPA-VENTURA-TOP-2-0,Madespa,MADESPA S.A.,Ventura Top 2.0,,,1,,Оттискные материалы,Silicona C de condensación Ventura Top 2.0 que ofrece una gran precisión y una relación ideal entre el tiempo de trabajo y el de polimerización,https://www.madespa.com/web/image/11194-b97d5973/1.jpg,1,2026-07-17,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.madespa.com/ventura-top-2-0
MADESPA-VENTURA-UNIBOND-2,Madespa,MADESPA S.A.,Ventura Unibond 2,,,1,,Реставрационные материалы,"Adhesivo monocomponente Ventura Unibond 2: Consistencia inalterable, tipo gel de fácil y precisa aplicación",https://www.madespa.com/web/image/11124-5d2d2d83/Composite-Ventura-unibond-2-194.jpg,1,2026-04-24,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.madespa.com/ventura-unibond-2
MADESPA-VENTURA-STONIC,Madespa,MADESPA S.A.,Yeso sintético Ventura Syntech Rock de Madespa,,,1,Colores disponibles: Blanco Documentation: Product specifications Ficha de seguridad Available formats: Box of 20 sets,Стоматологические гипсы,"Ventura Syntech Rock, Yeso sintético extra duro tipo IV para prótesis fija de Madespa",https://www.madespa.com/web/image/26877-87c498fb/stonic.jpg,1,2026-07-13,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.madespa.com/ventura-stonic
