officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,model,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
MGF-PR-OF600-090-T-HD,MGF,MGF S.r.l.,100/50 TANDEM PRIME S HD 10 BAR - 230V 50Hz,PR-OF600-090-T-HD,PR-OF600-090-T-HD,100/50 TANDEM PRIME S HD 10 BAR,1,Компрессоры PRIME HD для CAD/CAM,"Oil-free compressor, 6 cylinders, flow rate 380 l/min@8 bar, 90 l tank, without dryer.",https://www.mgfcompressors.com/fileadmin/_processed_/6/8/csm_100-50_PRIME_S-HD_756b44d5f1.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.mgfcompressors.com/dental/oil-free-compressors-prime-hd-for-cad-cam/prime-version-without-air-dryer/100-50-tandem-prime-s-10-bar-2.html
MGF-PR-OF600-090-T3-HD,MGF,MGF S.r.l.,100/50 TANDEM PRIME S HD 10 BAR - 400V 50/60Hz,PR-OF600-090-T3-HD,PR-OF600-090-T3-HD,100/50 TANDEM PRIME S HD 10 BAR,1,Компрессоры PRIME HD для CAD/CAM,"Oil-free compressor, 6 cylinders, flow rate 380 l/min@8 bar, 90 l tank, without dryer.",https://www.mgfcompressors.com/fileadmin/_processed_/6/8/csm_100-50_PRIME_S-HD_756b44d5f1.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.mgfcompressors.com/dental/oil-free-compressors-prime-hd-for-cad-cam/prime-version-without-air-dryer/100-50-tandem-prime-s-10-bar-1-1.html
MGF-PR-OF600-090-SMT3,MGF,MGF S.r.l.,100/50 TANDEM PRIME X3 10 BAR - 400V 50/60Hz,PR-OF600-090-SMT3,PR-OF600-090-SMT3,100/50 TANDEM PRIME X3 10 BAR,1,Компрессоры PRIME HD для CAD/CAM,"Oil-free compressor suitable for continuous compressed air supply till 330 l/min @ 8 bar, air receiver capacity 90 l, with membrane air dryer.",https://www.mgfcompressors.com/fileadmin/_processed_/5/9/csm_100-50_TANDEM_PRIME_M_SCONTORNO_6c1a3af330.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.mgfcompressors.com/dental/oil-free-compressors-prime-hd-for-cad-cam/x-line-version/100-50-tandem-prime-x3-10-bar.html
MGF-AS-300-EX,MGF,MGF S.r.l.,2 x HYBRID 5,AS-300-EX,AS-300-EX,2 x HYBRID 5,1,Централизованная хирургическая аспирация,Centralized wet ring suction system plug & play for up to 12 dental units.,https://www.mgfcompressors.com/fileadmin/_processed_/c/1/csm_Hybrib_5x2_senza_separatore-JPEG_ridimensionata_d087e3eab6.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.mgfcompressors.com/dental/centralized-surgical-dental-suction/2-x-hybrid-5.html
MGF-AS-300-EX-AS,MGF,MGF S.r.l.,2 x HYBRID 5,AS-300-EX-AS,AS-300-EX-AS,2 x HYBRID 5,1,Централизованная хирургическая аспирация,Centralized suction system with wet ring plug & play up to 12 units equipped with amalgam separator.,https://www.mgfcompressors.com/fileadmin/_processed_/4/f/csm_Ibrib_5x2-2_Metasys_copia_ec4caa7a54.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.mgfcompressors.com/dental/centralized-surgical-dental-suction/2-x-hybrid-5-1.html
MGF-AS-300-EX,MGF,MGF S.r.l.,2 x HYBRID 5,AS-300-EX,AS-300-EX,2 x HYBRID 5,1,Централизованная хирургическая аспирация,Centralized wet ring suction system plug & play for up to 12 dental units.,https://www.mgfcompressors.com/fileadmin/_processed_/c/1/csm_Hybrib_5x2_senza_separatore-JPEG_ridimensionata_d087e3eab6.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.mgfcompressors.com/dental/centralized-surgical-dental-suction/centralized-suction-up-to-20-dental-chairs/2-x-hybrid-5.html
MGF-AS-300-EX-AS,MGF,MGF S.r.l.,2 x HYBRID 5,AS-300-EX-AS,AS-300-EX-AS,2 x HYBRID 5,1,Централизованная хирургическая аспирация,Centralized suction system with wet ring plug & play up to 12 units equipped with amalgam separator.,https://www.mgfcompressors.com/fileadmin/_processed_/4/f/csm_Ibrib_5x2-2_Metasys_copia_ec4caa7a54.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.mgfcompressors.com/dental/centralized-surgical-dental-suction/centralized-suction-up-to-20-dental-chairs/2-x-hybrid-5-1.html
MGF-PR-OF900-200-T3-HD,MGF,MGF S.r.l.,200/75 PRIME S HD 10 BAR - 400V 50/60Hz,PR-OF900-200-T3-HD,PR-OF900-200-T3-HD,200/75 PRIME S HD 10 BAR,1,Компрессоры PRIME HD для CAD/CAM,"Oil-free compressor, 9 cylinders, flow rate 570 l/min@8 bar, 200 l tank, without dryer.",https://www.mgfcompressors.com/fileadmin/_processed_/6/3/csm_200-75_PRIME_S__5__SCONTORNO_3a820c24ec.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.mgfcompressors.com/dental/oil-free-compressors-prime-hd-for-cad-cam/prime-version-without-air-dryer/200-75-prime-s-10-bar-1.html
MGF-PR-OF900-200-SMT3,MGF,MGF S.r.l.,200/75 PRIME X3 10 BAR - 400V 50/60Hz,PR-OF900-200-SMT3,PR-OF900-200-SMT3,200/75 PRIME X3 10 BAR,1,Компрессоры PRIME HD для CAD/CAM,"Oil free compressors, 9 cylinders, suitable for continuous compressed air supply till 474 l/min @ 8 bar, air receiver capacity 200 l, with membrane air dryer, X line version.",https://www.mgfcompressors.com/fileadmin/_processed_/b/5/csm_200-75_PRIME_M_SCONTORNO_d69a3b96bf.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.mgfcompressors.com/dental/oil-free-compressors-prime-hd-for-cad-cam/x-line-version/200-75-prime-x3-10-bar.html
MGF-PR-OF900-200-MT3-HD,MGF,MGF S.r.l.,200/75 TANDEM PRIME M HD - 230V 50Hz,PR-OF900-200-MT3-HD,PR-OF900-200-MT3-HD,200/75 TANDEM PRIME M HD,1,Компрессоры PRIME HD для CAD/CAM,"Oil free compressor, 9 cylinders, air output 530 l/min@8 bar, 200 l tank, new generation membrane dryer capable of delivering dried air down to -20°C dew point",https://www.mgfcompressors.com/fileadmin/_processed_/0/8/csm_200-75_PRIME_M_HD_d402d18c74.jpg,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.mgfcompressors.com/dental/oil-free-compressors-prime-hd-for-cad-cam/prime-versions-with-air-dryer/100-50-tandem-prime-m-10-bar-1-1-1.html
