localId,brand,name,manufacturerRef,category,status,sourcePageUrl,sourceImageUrl,summary
515,Ferroplast,Камера бактерицидная Ультра-Лайт КБ-«Я»-ФП,,dental-equipment,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-equipment/sterilization-equipment/UV-chambers/item-515,https://nordstom.kz/userfiles/item/515/fullimage1.png,"Бактерицидная камера КБ-Я-ФП Ультралайт позволяет сохранить инструменты стерильными после стерилизации, не позволяя бактериям повторно заразить предметы. Материалы сохраняют чистоту до 7 суток, благодаря УФ-излучению, которое не выходит за пределы камеры."
516,Ferroplast,Камера КБ-02-«Я»-ФП «Ультра-Лайт»,,dental-equipment,MODEL_PRESENT_REFERENCE_REVIEW_REQUIRED,https://nordstom.kz/catalog/dental-equipment/sterilization-equipment/UV-chambers/item-516,https://nordstom.kz/userfiles/item/516/fullimage1.png,Бактерицидная камера КБ-02-Я-ФП Ультралайт позволяет хранить под рукой подготовленные заранее стерильные инструменты. Простерилизованные рабочие инструменты и материалы хранятся под воздействием УФ-лампы до семи дней. Данная модель подходит для компактных помещений.
62,Interdent,Гипс зуботехнический Interrock Premium тип 4,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dental-gypsum/item-62,https://nordstom.kz/userfiles/item/62/fullimage1.png,"Качественный, менее тиксотропный, синтетический, супертвердый гипс для изготовления точных рабочих моделей в несъемном протезировании. Отличается высокой прочностью, гладкой поверхностью, края не крошатся. сканировать можно без использования порошка."
63,Interdent,Гипс зуботехнический Interrock NEW супертвердый тип 4,,dental-materials,MODEL_PRESENT_REFERENCE_REVIEW_REQUIRED,https://nordstom.kz/catalog/dental-materials/dental-gypsum/item-63,https://nordstom.kz/userfiles/item/63/fullimage1.png,"Высококачественный, тиксотропный, синтетический, твёрдый гипс для прецизионной техники при изготовлении фарфоровых коронок и мостов."
64,Interdent,"Гипс твердый Interdur, тип III",,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dental-gypsum/item-64,https://nordstom.kz/userfiles/item/64/fullimage1.png,"Качественный, тиксотропный, синтетический, твёрдый гипс для изготовления высококачественных рабочих моделей."
65,Interdent,Гипс зуботехнический Blue stone твердый тип 3,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dental-gypsum/item-65,https://nordstom.kz/userfiles/item/65/fullimage1.png,"Качественный, тиксотропный, многоцелевой гипс для применения в зуботехнической лаборатории."
66,Interdent,Гипс зуботехнический Yellow stone тип 3,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dental-gypsum/item-66,https://nordstom.kz/userfiles/item/66/fullimage1.png,"Качественный, тиксотропный, многоцелевой гипс для применения в зуботехнической лаборатории."
67,Interdent,Гипс зуботехнический Orthoplaster,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dental-gypsum/item-67,https://nordstom.kz/userfiles/item/67/fullimage1.png,"Супер-белый, качественный, тиксотропный гипс, для применения в ортодонтии."
68,Interdent,Гипс зуботехнический Artiplaster тип 3,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dental-gypsum/item-68,https://nordstom.kz/userfiles/item/68/fullimage1.png,В ортопедической стоматологии требуется применение специальных гипсов для фиксации моделей в артикуляторе (окклюдаторе).
69,Interdent,Алебастр,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dental-gypsum/item-69,https://nordstom.kz/userfiles/item/69/fullimage1.png,Алебастр применяется для гипсовки восковой репродукции протеза в кювету перед полимеризацией.
70,Interdent,Кольца ретенционные,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/podgotovka/podgotovka/item-70,https://nordstom.kz/userfiles/item/70/fullimage1.png,Для ретенций между первичной и вторичной частью гипсовой модели.
71,Interdent,Штифты/пины,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/podgotovka/podgotovka/item-71,https://nordstom.kz/userfiles/item/71/fullimage1.png,"Стандартные штифты для изготовления разборной модели. Изготовлены из латуни, трех размеров. Коническая форма облегчает изъятие и обеспечивает достаточное трение."
72,Interdent,Штифты для разборных моделей TWIN PINS,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/podgotovka/podgotovka/item-72,https://nordstom.kz/userfiles/item/72/fullimage1.png,"Штифты Тwin - Pin обеспечивают хорошую фиксацию при подготовке рабочей модели, особенно на тех участках модели, где мало места."
73,Interdent,Лак Interfilm для изоляции воск-гипс и воск-металл,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/modeling/auxiliary-tools-for-modeling/item-73,https://nordstom.kz/userfiles/item/73/fullimage1.png,При погружном методе отличная изоляция гипсовых моделей с помощью тонкого слоя пленки. Изолирует воск от гипса и воск от металла.
74,Interdent,Лак дистанционный,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/modeling/auxiliary-tools-for-modeling/item-74,https://nordstom.kz/userfiles/item/74/fullimage1.png,"Специальный лак для индивидуальной модели, устойчивый ко всем изолирующим средствам."
75,Interdent,Растворитель для дистанционного лака,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/modeling/auxiliary-tools-for-modeling/item-75,https://nordstom.kz/userfiles/item/75/fullimage1.png,С помощью растворителя можно получить идеальную густоту дистанционного лака. Растворитель используется также для очистки моделей и кисточек.
76,Interdent,Воск корректирующий,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/wax/item-76,https://nordstom.kz/userfiles/item/76/fullimage1.png,"Корректирующий воск - воск с высокой температурой плавления. Применяется для коррекции гипсовых моделей, более твердый, и светло-серого цвета."
77,Interdent,Воск цервикальный,,dental-materials,REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/wax/item-77,https://nordstom.kz/userfiles/item/77/fullimage1.png,"Цервикальный воск особо эластичный, используется для моделирования инлеев и цервикальных краев коронок."
