officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl,referenceReviewNote
LM-DENTAL-MINI-LANGER-12,LM Dental,LM-Instruments Oy,Mini Langer 1/2,,,1,LM Dental / handinstrumentation / periodontics / universal curettes / langer curettes,https://lm-dental.com/wp-content/uploads/2023/10/Mini_Langer_1-2_281-282MES_Front.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://lm-dental.com/products/handinstrumentation/periodontics/universal-curettes/langer-curettes/mini-langer-12/,
LM-DENTAL-MINI-LANGER-34,LM Dental,LM-Instruments Oy,Mini Langer 3/4,,,1,LM Dental / handinstrumentation / periodontics / universal curettes / langer curettes,https://lm-dental.com/wp-content/uploads/2023/10/Mini_Langer_3-4_283-284MES_Front.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://lm-dental.com/products/handinstrumentation/periodontics/universal-curettes/langer-curettes/mini-langer-34/,
LM-DENTAL-MINI-LANGER-56,LM Dental,LM-Instruments Oy,Mini Langer 5/6,,,1,LM Dental / handinstrumentation / periodontics / universal curettes / langer curettes,https://lm-dental.com/wp-content/uploads/2023/10/Mini_Langer_5-6_285-286MES_Front.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,MANUFACTURER_REFERENCE_REQUIRED,https://lm-dental.com/products/handinstrumentation/periodontics/universal-curettes/langer-curettes/mini-langer-56/,
LM-DENTAL-MINI-MCCALL-13S-14S,LM Dental,LM-Instruments Oy,Mini McCall 13S-14S,222-223M,222-223M,1,LM Dental / handinstrumentation / periodontics / universal curettes / mccall curettes,https://lm-dental.com/wp-content/uploads/2017/01/Mini_McCall_13S-14S_222-223MES_Front-scaled.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://lm-dental.com/products/handinstrumentation/periodontics/universal-curettes/mccall-curettes/mini-mccall-13s-14s/,
LM-DENTAL-MINI-SICKLE,LM Dental,LM-Instruments Oy,Mini Sickle,311-312,311-312,1,LM Dental / handinstrumentation / periodontics / sickle scalers,https://lm-dental.com/wp-content/uploads/2023/09/Mini_Sickle_311-312ES_Front-scaled.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://lm-dental.com/products/handinstrumentation/periodontics/sickle-scalers/mini-sickle/,
LM-DENTAL-MINI-SPATULA,LM Dental,LM-Instruments Oy,Mini Spatula,444-445,444-445,1,LM Dental / handinstrumentation / restoration / contouring and sculpting / for composites,https://lm-dental.com/wp-content/uploads/2022/08/mini-spatula-lm-444-445-es-1.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://lm-dental.com/products/handinstrumentation/restoration/contouring-and-sculpting/for-composites/mini-spatula/,
LM-DENTAL-MINI-SYNTETTE,LM Dental,LM-Instruments Oy,Mini Syntette™,215-216M,215-216M,1,LM Dental / handinstrumentation / periodontics / lm dual gracey,https://lm-dental.com/wp-content/uploads/2023/10/Mini_Syntette_SD_215-216MSDES_Back-scaled.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://lm-dental.com/products/handinstrumentation/periodontics/lm-dual-gracey/mini-syntette/,
LM-DENTAL-MINI-SYNTETTE-ANTERIOR,LM Dental,LM-Instruments Oy,Mini Syntette™ Anterior,275-276M,275-276M,1,LM Dental / handinstrumentation / periodontics / lm dual gracey,https://lm-dental.com/wp-content/uploads/2023/10/Mini_Syntette_Anterior_SD_275-276MSDES_Front-scaled.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://lm-dental.com/products/handinstrumentation/periodontics/lm-dual-gracey/mini-syntette-anterior/,
LM-DENTAL-MIRROR-HANDLE-VET,LM Dental,LM-Instruments Oy,Mirror handle – VET,25XSIVET,25XSIVET,1,LM Dental / veterinary products / see test measure,https://lm-dental.com/wp-content/uploads/2023/02/Mirror_handle_VET_1024x1024.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://lm-dental.com/products/veterinary-products/see-test-measure/mirror-handle-vet/,
LM-DENTAL-MIRROR-HANDLE-25,LM Dental,LM-Instruments Oy,Mirror Handle 25,,,1,LM Dental / handinstrumentation / diagnostics / mirror handles,https://lm-dental.com/wp-content/uploads/2022/08/mirror-handle-25-m-2-5-blue-lm-25-es-1-mirror.jpg,1,BRAND_AND_SELECTED_PRODUCTS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,OFFICIAL_REFERENCE_COLLECTED_KZ_AVAILABILITY_REVIEW_REQUIRED,https://lm-dental.com/products/handinstrumentation/diagnostics/mirror-handles/mirror-handle-25/,Official page displays non-unique SKU 25; exact order reference requires manual review.
