canonicalProductId,brand,name,manufacturerRefs,variantCount,photoStatus,publishableImageUrl,evidenceImageUrl,status,sourcePageUrl,sourceEvidenceFiles
CANON-FALCON-DE-070-320,Falcon,Elevator Cryer right fig. 32,DE.070.320,1,EXACT_SOURCE_SINGLE_CARD,https://falconmedical.pl/app/uploads/2021/10/18907-Dzwignia-Cryer-prawa-fig.32.jpg,https://falconmedical.pl/app/uploads/2021/10/18907-Dzwignia-Cryer-prawa-fig.32.jpg,KZ_SKU_EVIDENCE_REQUIRED,https://falconmedical.pl/en/product/elevator-cryer-right-fig-32/,falcon-manufacturer-catalog.json
CANON-FALCON-DE-070-450,Falcon,Elevator Cryer right fig. 45,DE.070.450,1,EXACT_SOURCE_SINGLE_CARD,https://falconmedical.pl/app/uploads/2021/10/18905-Dzwignia-Cryer-prawa-fig.45.jpg,https://falconmedical.pl/app/uploads/2021/10/18905-Dzwignia-Cryer-prawa-fig.45.jpg,KZ_SKU_EVIDENCE_REQUIRED,https://falconmedical.pl/en/product/elevator-cryer-right-fig-45/,falcon-manufacturer-catalog.json
CANON-FALCON-DE-080-040,Falcon,"Elevator Falcon-Mini curved 1.3mm, fig. 4",DE.080.040,1,EXACT_SOURCE_SINGLE_CARD,https://falconmedical.pl/app/uploads/2021/10/18932-Dzwignia-Falcon-Mini-zagieta-1.3mm-fig.-4.jpg,https://falconmedical.pl/app/uploads/2021/10/18932-Dzwignia-Falcon-Mini-zagieta-1.3mm-fig.-4.jpg,KZ_SKU_EVIDENCE_REQUIRED,https://falconmedical.pl/en/product/elevator-falcon-mini-curved-1-3mm-fig-4/,falcon-manufacturer-catalog.json
CANON-FALCON-DE-080-050,Falcon,"Elevator Falcon-Mini curved 1.3mm, fig. 5",DE.080.050,1,EXACT_SOURCE_SINGLE_CARD,https://falconmedical.pl/app/uploads/2021/10/18931-Dzwignia-Falcon-Mini-zagieta-1.3mm-fig.-5.jpg,https://falconmedical.pl/app/uploads/2021/10/18931-Dzwignia-Falcon-Mini-zagieta-1.3mm-fig.-5.jpg,KZ_SKU_EVIDENCE_REQUIRED,https://falconmedical.pl/en/product/elevator-falcon-mini-curved-1-3mm-fig-5/,falcon-manufacturer-catalog.json
CANON-FALCON-DE-080-010,Falcon,"Elevator Falcon-Mini straight 1.3mm, fig. 1",DE.080.010,1,EXACT_SOURCE_SINGLE_CARD,https://falconmedical.pl/app/uploads/2021/10/18935-Dzwignia-Falcon-Mini-prosta-1.3mm-fig.-1.jpg,https://falconmedical.pl/app/uploads/2021/10/18935-Dzwignia-Falcon-Mini-prosta-1.3mm-fig.-1.jpg,KZ_SKU_EVIDENCE_REQUIRED,https://falconmedical.pl/en/product/elevator-falcon-mini-straight-1-3mm-fig-1/,falcon-manufacturer-catalog.json
CANON-FALCON-DE-080-020,Falcon,"Elevator Falcon-Mini straight 1.8mm, fig. 2",DE.080.020,1,EXACT_SOURCE_SINGLE_CARD,https://falconmedical.pl/app/uploads/2021/10/18934-Dzwignia-Falcon-Mini-prosta-1.8mm-fig.-2.jpg,https://falconmedical.pl/app/uploads/2021/10/18934-Dzwignia-Falcon-Mini-prosta-1.8mm-fig.-2.jpg,KZ_SKU_EVIDENCE_REQUIRED,https://falconmedical.pl/en/product/elevator-falcon-mini-straight-1-8mm-fig-2/,falcon-manufacturer-catalog.json
CANON-FALCON-DE-080-030,Falcon,"Elevator Falcon-Mini straight 2.3mm, fig. 3",DE.080.030,1,EXACT_SOURCE_SINGLE_CARD,https://falconmedical.pl/app/uploads/2021/10/18933-Dzwignia-Falcon-Mini-prosta-2.3mm-fig.-3.jpg,https://falconmedical.pl/app/uploads/2021/10/18933-Dzwignia-Falcon-Mini-prosta-2.3mm-fig.-3.jpg,KZ_SKU_EVIDENCE_REQUIRED,https://falconmedical.pl/en/product/elevator-falcon-mini-straight-2-3mm-fig-3/,falcon-manufacturer-catalog.json
CANON-FALCON-DE-086-021,Falcon,Elevator Flohr left anatomical handle fig. 2,DE.086.021,1,EXACT_SOURCE_SINGLE_CARD,https://falconmedical.pl/app/uploads/2021/10/18862-Dzwignia-Flohr-lewa-ostra-anatomiczny-uchwyt-fig.2.jpg,https://falconmedical.pl/app/uploads/2021/10/18862-Dzwignia-Flohr-lewa-ostra-anatomiczny-uchwyt-fig.2.jpg,KZ_SKU_EVIDENCE_REQUIRED,https://falconmedical.pl/en/product/elevator-flohr-left-anatomical-handle-fig-2/,falcon-manufacturer-catalog.json
CANON-FALCON-DE-086-020,Falcon,Elevator Flohr left fig. 2,DE.086.020,1,EXACT_SOURCE_SINGLE_CARD,https://falconmedical.pl/app/uploads/2021/10/18888-Dzwignia-Flohr-lewa-fig.2.jpg,https://falconmedical.pl/app/uploads/2021/10/18888-Dzwignia-Flohr-lewa-fig.2.jpg,KZ_SKU_EVIDENCE_REQUIRED,https://falconmedical.pl/en/product/elevator-flohr-left-fig-2/,falcon-manufacturer-catalog.json
CANON-FALCON-DE-086-031,Falcon,Elevator Flohr right anatomical handle fig. 3,DE.086.031,1,EXACT_SOURCE_SINGLE_CARD,https://falconmedical.pl/app/uploads/2021/10/18861-Dzwignia-Flohr-prawa-ostra-anatomiczny-uchwyt-fig.3.jpg,https://falconmedical.pl/app/uploads/2021/10/18861-Dzwignia-Flohr-prawa-ostra-anatomiczny-uchwyt-fig.3.jpg,KZ_SKU_EVIDENCE_REQUIRED,https://falconmedical.pl/en/product/elevator-flohr-right-anatomical-handle-fig-3/,falcon-manufacturer-catalog.json
