officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
NSK-MOBILE-VIVAMATE_G5,NSK,Nakanishi Inc.,VIVAMATE G5（訪問診療用機器）,Y1001344,Y1001344,1,NSK / mobile-dentistry,https://www.japan.nsk-dental.com/admin/wp-content/uploads/viva_mateg5.png,1,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.japan.nsk-dental.com/products/mobile-dentistry/mobile-vivamate_g5/
NSK-DENTAL-VOLVERE_I7,NSK,Nakanishi Inc.,VOLVERE i7（技工用製品）,Y1003476,Y1003476 | Y1003478,2,NSK / dental-laboratory,https://www.japan.nsk-dental.com/admin/wp-content/uploads/Web_Image_Volverei7_PRESTO_1000%C3%97500_231123_0_Volvere-i7_set.png,1,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,KZ_SKU_EVIDENCE_REQUIRED,https://www.japan.nsk-dental.com/products/dental-laboratory/dental-volvere_i7/
NSK-AS_TIPS_PERIO_CONTROL_MAINTENANCE,NSK,Nakanishi Inc.,インプラント・補綴物用Vチップ（エアースケーラーチップ）,Z252015,Z252015 | Y1002746 | Y1002749 | Y1002747 | Y1002748 | Y1002754,6,NSK / oral-hygiene,,0,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://www.japan.nsk-dental.com/products/oral-hygiene/oral-airscaler_tips/as_tips_perio_control_maintenance/
NSK-US_TIPS_PERIOCONTROL_VA,NSK,Nakanishi Inc.,インプラント・補綴物用Vチップ（超音波スケーラー用チップ）,Z217041,Z217041 | Y900184 | Y1002167 | Y1002165 | Y1002166 | Y1002168 | Y1002169 | Y1002606,8,NSK / oral-hygiene,,0,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://www.japan.nsk-dental.com/products/oral-hygiene/oral-varios_ultrascaler_tips/us_tips_periocontrol_va/
NSK-ORAL-AIRSCALER_TIPS,NSK,Nakanishi Inc.,エアースケーラー用チップ（超音波スケーラー）,Z252450,Z252450 | Y900097 | Y900098 | Y900099 | Y900100 | Y900096 | Z252411 | Z252413 | Z252412 | Z252420 | Z252441 | Z252442 | Z252443 | Z252465 | Z252466 | Z252467 | Z252468 | Z252471 | Z252472 | Z252469 | Z252462 | Z252461 | Z252460 | Z252035 | Y900118 | Y900119 | Y900120 | Y900121 | Y900122 | Y900165 | Y900166 | Y900167 | Y900177 | Y900178 | Y900179 | Y900180 | Y900181,37,NSK / oral-hygiene,,0,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://www.japan.nsk-dental.com/products/oral-hygiene/oral-airscaler_tips/
NSK-US_TIPS_ENDODONTICS_V_TIP,NSK,Nakanishi Inc.,エンドVチップ（超音波スケーラー用チップ）,Z217030,Z217030 | Y900169 | Y900170 | Y900171 | Y900172 | Y900173 | Y900174 | Y900175 | Y900176,9,NSK / oral-hygiene,,0,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://www.japan.nsk-dental.com/products/oral-hygiene/oral-varios_ultrascaler_tips/us_tips_endodontics_v_tip/
NSK-US_TIPS_ENDODONTICS,NSK,Nakanishi Inc.,エンドチップ（超音波スケーラー用チップ）,Z217428,Z217428 | Z217528 | Z217305 | Z217306 | Z217307 | Z217317 | Z217308 | Z217318 | Z217319 | Z217031 | Z217032 | Y900062 | Y900063 | Y900064 | Y900065 | Y900066 | Y900146 | Y900147,18,NSK / oral-hygiene,,0,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://www.japan.nsk-dental.com/products/oral-hygiene/oral-varios_ultrascaler_tips/us_tips_endodontics/
NSK-ENDO-CONTRA,NSK,Nakanishi Inc.,エンド用コントラアングル（根幹治療）,,,1,NSK / endodontics,,0,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://www.japan.nsk-dental.com/products/endodontics/endo-contra/
NSK-SURGICAL-HANDPIECES,NSK,Nakanishi Inc.,オーラルサージェリーハンドピース,C1068,C1068 | C1067 | CA13030001 | CA13020001 | Y110127 | Y110147 | C1004 | C1007 | C1107 | C1108 | C1011 | H1009 | H1038 | H264 | H266 | SH162 | SH163 | Y900072 | Y900073 | Y900074 | H174034 | H174044 | H174031 | H174041 | H174032 | H174042 | Y900075 | Y900076,28,NSK / surgical,,0,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://www.japan.nsk-dental.com/products/surgical/surgical-handpieces/
NSK-AS_TIPS_SCALING,NSK,Nakanishi Inc.,スケーリング（エアースケーラーチップ）,,,1,NSK / oral-hygiene,,0,BRAND_AND_SELECTED_MODELS_OBSERVED_IN_KAZAKHSTAN_EXACT_SKU_REVIEW_REQUIRED,PHOTO_REQUIRED,https://www.japan.nsk-dental.com/products/oral-hygiene/oral-airscaler_tips/as_tips_scaling/
