officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,description,imageUrls,imageCount,kzEvidence,status,sourcePageUrl
charmbond,DentKist,"DentKist, Inc.",CharmBond Светоотверждаемый бонд на основе нано-частиц,,,1,therapy > bonding,Бонд в стоматологии купить Charmbond с доставкой по Москве ✅. Заказать стоматологический бондинговый материал Чамбонд для обработки эмали зубов и улучшения адгезии. Цена на адгезивные системы указана в каталоге на сайте ☝.,https://static.tildacdn.com/tild3035-3536-4765-a362-663764643663/charmbond-svetootver.jpg,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_REQUIRED,https://dentkist.ru/catalog/therapy/bonding/charmbond
charmbondrefill,DentKist,"DentKist, Inc.",Charm®Bond Refill 2*5 мл - светоотверждаемый бонд V поколения на основе нано-частиц,,,1,therapy > bonding,Бонд стоматологический Charmbond refill купить в интернет магазине с доставкой по Москве ✅. Заказать бондинговые системы в стоматологии. Цены на бондинговый материал указаны в каталога на сайте ☝.,https://static.tildacdn.com/tild6132-3133-4437-b964-353937643337/charmbond-refill-sve.jpg,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_REQUIRED,https://dentkist.ru/catalog/therapy/bonding/charmbondrefill
charmetch,DentKist,"DentKist, Inc.",CharmEtch Протравочный гель стоматологический,,,1,therapy > bonding,Протравочный гель купить Charmetch с доставкой по Москве ✅. Заказать гели для травления эмали и дентина в стоматологии. Цена на стоматологический протравливающий препарат с фосфорной кислотой указана в каталоге на сайте ☝.,https://static.tildacdn.com/tild3839-3961-4737-b861-306536396662/charmetch-protravoch.jpg,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_REQUIRED,https://dentkist.ru/catalog/therapy/bonding/charmetch
charmseal_2,DentKist,"DentKist, Inc.",CharmSeal Герметизация ямок и фиссур для профилактики кариеса,,,1,therapy > profilaktica,Материалы для герметизации фиссур зубов Charmseal купить с доставкой по Москве ✅. Заказать герметики светового отверждения для профилактики зубного кариеса. Цены на материал стоматологический для запечатывания слепых ямок и покрытия эмали зуба указаны в к,https://static.tildacdn.com/tild6461-6333-4265-b531-653936626432/charmseal-germetizac.jpg,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_REQUIRED,https://dentkist.ru/catalog/therapy/profilaktica/charmseal_2
charmsensy,DentKist,"DentKist, Inc.",CharmSensy для лечения чувствительности зубов,,,1,therapy > profilaktica,Сильная чувствительность зубов лечение Charmsensy купить с доставкой по Москве ✅. Заказать препараты для снижения гиперчувствительности шейки зуба и эмали. Цены на препарат для снятия и лечения чувствительности зубной ткани указаны в каталоге на сайте ☝.,https://static.tildacdn.com/tild3338-6561-4365-a634-333634306131/charmsensy-dlya-lech.jpg,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_REQUIRED,https://dentkist.ru/catalog/therapy/profilaktica/charmsensy
charmflex_putty,DentKist,"DentKist, Inc.","CharmFlex® Putty - слепочный материал, А-силикон",,,1,orthopedics,"Силиконовые слепочные материалы купить Charmflex putty с доставкой по Москве ✅. Заказать слепочный материал для ортопедической стоматологии Чамфлекс путти. Цены стоматологического зуботехнического материала, массы для снятия слепков зубов указаны в катало",https://static.tildacdn.com/tild6638-3263-4737-b132-393663363131/charmflex-putty-slep.png,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_REQUIRED,https://dentkist.ru/catalog/orthopedics/charmflex_putty
charmflex_regular,DentKist,"DentKist, Inc.",CharmFlex®Regular уточняющий А-силикон,,,1,orthopedics,Массы для слепков купить Charmflex regular с доставкой по Москве ✅. Заказать слепочный материал для ортопедической стоматологии. Цены на стоматологическую корригирующую массу для снятия слепка для коронки зуба указаны в каталоге на сайте ☝.,https://static.tildacdn.com/tild6562-3565-4734-b766-353831636631/charmflex-regular-ut.jpg,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_REQUIRED,https://dentkist.ru/catalog/orthopedics/charmflex_regular
charmflex_heavy,DentKist,"DentKist, Inc.",CharmFlex®Heavy уточняющий А-силикон высокой вязкости,,,1,orthopedics,Слепочный материал стоматология купить Charmflex heavy с доставкой по Москве ✅. Заказать стоматологическую массу для снятия слепков коронки зуба. Цены на корригирующие материалы для ортопедической стоматологии указаны в каталоге на сайте ☝.,https://static.tildacdn.com/tild3565-3234-4366-b831-316466323163/charmflex-heavy-utoc.jpg,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_REQUIRED,https://dentkist.ru/catalog/orthopedics/charmflex_heavy
charmflex_light-lv,DentKist,"DentKist, Inc.",CharmFlex®Light-LV - А-силикон мягкий коррегирующий слой,,,1,orthopedics,"Слепочная масса для снятия слепков купить Charmflex light-lv с доставкой по Москве ✅. Заказать слепочный материал для ортопедической стоматологии. Цены на стоматологические материалы, корригирующую массу для слепка коронок зубов указаны в каталоге на сайт",https://static.tildacdn.com/tild6132-3935-4563-a165-303330636338/charmflex-light-lva-.jpg,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_REQUIRED,https://dentkist.ru/catalog/orthopedics/charmflex_light-lv
charmflex_bite_clear,DentKist,"DentKist, Inc.",CharmFlex Bite Clear - А-силикон для регистрации прикуса,,,1,orthopedics,А силикон для регистрации прикуса Charmflex bite clear купить с доставкой по Москве ✅. Заказать материал на основе силикона с оксидом цинка для стоматологии. Цены на стоматологический препарат указана в каталоге на сайте ☝.,https://static.tildacdn.com/tild3164-6666-4135-b735-346434323431/charmflex-bite-clear.jpg,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_REQUIRED,https://dentkist.ru/catalog/orthopedics/charmflex_bite_clear
charmflex_light_xlv,DentKist,"DentKist, Inc.",CharmFlex Light XLV - А-силикон очень мягкий коррегирующий слой,,,1,orthopedics,Слепочная масса купить Москва Charmflex light xlv с доставкой ✅. Заказать коррегирующий слой в стоматологии. Цены на стоматологическую силиконовую слепочную массу для снятия слепков зуба для коронки указаны в каталоге на сайте ☝.,https://static.tildacdn.com/tild3833-3732-4233-b130-343139383636/charmflex-light-xlva.jpg,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_REQUIRED,https://dentkist.ru/catalog/orthopedics/charmflex_light_xlv
charmtepm_crown,DentKist,"DentKist, Inc.",CharmTemp Crown - материал для изготовления временных коронок,,,1,orthopedics,Charmtemp crown материал для изготовления временных коронок купить с доставкой по Москве ✅. Заказать материалы для временной коронки. Цены указаны в каталоге на сайте ☝.,https://static.tildacdn.com/tild6334-6138-4238-b430-363338656163/charmtemp-crown-mate.jpg,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_REQUIRED,https://dentkist.ru/catalog/orthopedics/charmtepm_crown
charmtemp_ne,DentKist,"DentKist, Inc.","CharmTemp NE - цемент для временной фиксации протезов, коронок, мостов",,,1,orthopedics,Цемент для коронки купить Charmtemp ne от производителя с доставкой по Москве ✅. Заказать стоматологические цементные материалы для временной фиксации коронок в розницу. Цены зубного цемента в стоматологии указаны в каталоге на сайте ☝.,https://static.tildacdn.com/tild6630-6164-4564-a636-343232346137/charmtemp-ne-cement-.jpg,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_REQUIRED,https://dentkist.ru/catalog/orthopedics/charmtemp_ne
supercem,DentKist,"DentKist, Inc.","SuperCem - цемент для постоянной фиксации протезов, коронок, мостов",,,1,orthopedics,Цемент для постоянной фиксации Supercem купить с доставкой по Москве ✅. Заказать стоматологические цементы для фиксации коронок в интернет-магазине Dentkist. Цены композитного цемента двойного отверждения для цементирования коронки указаны в каталоге на с,https://static.tildacdn.com/tild3338-3663-4432-b931-373065323836/supercem-cement-dlya.jpg,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_REQUIRED,https://dentkist.ru/catalog/orthopedics/supercem
365714038-747300324972-charmbase-svetootverzhdaemii-prokladochn,DentKist,"DentKist, Inc.",CharmBase светоотверждаемый прокладочный стоматологический материал,,,1,therapy > tproduct,CharmBase светоотверждаемый прокладочный стоматологический материал,https://static.tildacdn.com/stor3734-6334-4630-a661-666162326138/82395862.jpg,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_REQUIRED,https://dentkist.ru/catalog/therapy/tproduct/365714038-747300324972-charmbase-svetootverzhdaemii-prokladochn
389722346-647047296052-charmdam-material-stomatologicheskii-sve,DentKist,"DentKist, Inc.",CharmDam - материал стоматологический светоотверждаемый для защиты десен,,,1,therapy > tproduct,CharmDam - материал стоматологический светоотверждаемый для защиты десен,https://static.tildacdn.com/stor3132-3833-4035-a631-663639643134/75605615.jpg,1,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_REQUIRED,https://dentkist.ru/catalog/therapy/tproduct/389722346-647047296052-charmdam-material-stomatologicheskii-sve
