source,brand,name,productId,manufacturerRefs,variantCount,imageCount,marketEvidence,readiness,sourcePageUrl,sourceFile
NORD STOM KZ,Interdent,Гипс зуботехнический Artiplaster тип 3,68,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dental-gypsum/item-68,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Алебастр,69,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/dental-gypsum/item-69,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Кольца ретенционные,70,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/podgotovka/podgotovka/item-70,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Штифты/пины,71,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/podgotovka/podgotovka/item-71,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Штифты для разборных моделей TWIN PINS,72,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/podgotovka/podgotovka/item-72,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Лак Interfilm для изоляции воск-гипс и воск-металл,73,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/modeling/auxiliary-tools-for-modeling/item-73,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Лак дистанционный,74,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/modeling/auxiliary-tools-for-modeling/item-74,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Растворитель для дистанционного лака,75,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/modeling/auxiliary-tools-for-modeling/item-75,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Воск корректирующий,76,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/wax/item-76,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Воск цервикальный,77,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/wax/item-77,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Воски моделировочные,78,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/wax/item-78,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Воск универсальный,79,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/wax/item-79,nordstom-full-catalog.json
NORD STOM KZ,Interdent,"Воск выблокировочный ""Block Out""",80,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/wax/item-80,nordstom-full-catalog.json
NORD STOM KZ,Interdent,"Воск для базисных протезов, в пластинах",81,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/wax/item-81,nordstom-full-catalog.json
