productId,brand,name,status,reason,identityPresent,sourcePresent,exactPhoto,verifiedPhotoRights,sourceUrl,nextAction
public-0263a5fc005ebdab51e84e2d,Solventum,3M Clinpro White Varnish,CANONICAL_CONTENT_READY,"Brand, Kazakhstan evidence, exact source and model identity are present",YES,YES,YES,NO,https://www.solventum.com/en-il/home/f/b00005791/,VERIFY_OR_REPLACE_PRODUCT_PHOTO
public-1e5301ac4ba16c4a4b68a565,Solventum,3M Filtek One Bulk Fill Restorative,CANONICAL_CONTENT_READY,"Brand, Kazakhstan evidence, exact source and model identity are present",YES,YES,YES,NO,https://www.solventum.com/en-us/home/f/b00008028/,VERIFY_OR_REPLACE_PRODUCT_PHOTO
public-5d0c9393a8b277cdb3504520,Solventum,3M Filtek Supreme XTE Universal Restorative,CANONICAL_CONTENT_READY,"Brand, Kazakhstan evidence, exact source and model identity are present",YES,YES,NO,NO,https://www.3mkazakhstan.com/3M/ru_KZ/p/d/b00007950/,VERIFY_OR_REPLACE_PRODUCT_PHOTO
public-42d6ecbff30d1e7fc6513d15,Solventum,3M Filtek Universal Restorative,CANONICAL_CONTENT_READY,"Brand, Kazakhstan evidence, exact source and model identity are present",YES,YES,YES,NO,https://www.solventum.com/en-us/home/f/b5005092007/,VERIFY_OR_REPLACE_PRODUCT_PHOTO
public-cfb3f1f01c30b2a02064602c,Solventum,3M RelyX Universal Resin Cement,CANONICAL_CONTENT_READY,"Brand, Kazakhstan evidence, exact source and model identity are present",YES,YES,YES,NO,https://www.solventum.com/en-us/home/f/b5005223005/,VERIFY_OR_REPLACE_PRODUCT_PHOTO
public-b13fa3fe2c45d69bde6ac8c0,Solventum,3M Scotchbond Universal Plus Adhesive,CANONICAL_CONTENT_READY,"Brand, Kazakhstan evidence, exact source and model identity are present",YES,YES,YES,NO,https://www.solventum.com/en-us/home/f/B5005223013/,VERIFY_OR_REPLACE_PRODUCT_PHOTO
public-5b1d1766bf183e896b71e9fd,,"Абатмент 11,5 CF NP",BRAND_REQUIRED,Canonical card cannot be published without a confirmed brand,YES,YES,YES,NO,https://amdgroup.kz/catalog/frezeruemyy_abatment_pre_milled/abatment_11_5_cf_np/,BRAND_REQUIRED
public-c0240a03e4cbf502c5ee551d,,"Абатмент 11,5 CF SP",BRAND_REQUIRED,Canonical card cannot be published without a confirmed brand,YES,YES,YES,NO,https://amdgroup.kz/catalog/frezeruemyy_abatment_pre_milled/abatment_11_5_cf_sp/,BRAND_REQUIRED
public-6b0493f920184ef05ed17718,,"Абатмент 15,8 CF NP",BRAND_REQUIRED,Canonical card cannot be published without a confirmed brand,YES,YES,YES,NO,https://amdgroup.kz/catalog/frezeruemyy_abatment_pre_milled/abatment_15_8_cf_np/,BRAND_REQUIRED
public-c26354af6228d37c4c693402,,"Абатмент 15,8 CF SP",BRAND_REQUIRED,Canonical card cannot be published without a confirmed brand,YES,YES,YES,NO,https://amdgroup.kz/catalog/frezeruemyy_abatment_pre_milled/abatment_15_8_cf_sp_/,BRAND_REQUIRED
public-8231985348350e0b65571699,,"Абатмент выгораемый для коронки 3,5 CF GH 1,0 NP",BRAND_REQUIRED,Canonical card cannot be published without a confirmed brand,YES,YES,YES,NO,https://amdgroup.kz/catalog/kobalt_khromovyy_abatment/abatment_vygoraemyy_dlya_koronki_3_5_cf_gh_1_0_np/,BRAND_REQUIRED
public-1d6d41bade69dcca05d5db99,,"Абатмент выгораемый для коронки 4,5 CF GH 1,0 NP",BRAND_REQUIRED,Canonical card cannot be published without a confirmed brand,YES,YES,YES,NO,https://amdgroup.kz/catalog/kobalt_khromovyy_abatment/abatment_vygoraemyy_dlya_koronki_4_5_cf_gh_1_0_np/,BRAND_REQUIRED
