officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,model,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
NTI-805-008M-FG,NTI,NTI-Kahla GmbH,Inverted Cone,805-008M-FG,805-008M-FG | 805-008M-KID | 805-009M-FG | 805-010M-FG | 805-010M-KID | 805-012C-FG | 805-012M-FG | 805-014C-FG | 805-014F-FG | 805-014M-FG | 805-014SC-FG | 805-016C-FG | 805-016M-FG | 805-016SC-FG | 805-018C-FG | 805-018M-FG | 805-018SC-FG | 805-021C-FG | 805-021M-FG | 805-021SC-FG | 805-023M-FG,805-008M-FG,21,,,https://www.nti.de/userdata/dcshop/images/normal/222_805-008m-fg_a.jpg,5,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/inverted-cone-p9219/
NTI-805-012M-HP,NTI,NTI-Kahla GmbH,Inverted Cone,805-012M-HP,805-012M-HP | 805-014M-HP | 805-016M-HP | 805-018M-HP | 805-021M-HP | 805-023M-HP | 805-040M-HP | 805-050M-HP,805-012M-HP,8,,,https://www.nti.de/userdata/dcshop/images/normal/3611_805-012m-hp__a.jpg,5,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/inverted-cone-p9220/
NTI-807-010M-FG,NTI,NTI-Kahla GmbH,Inverted Cone,807-010M-FG,807-010M-FG | 807-012C-FG | 807-012M-FG | 807-014C-FG | 807-014M-FG | 807-016C-FG | 807-016M-FG | 807-016SC-FG | 807-018C-FG | 807-018M-FG | 807-018SC-FG | 807-021C-FG | 807-021M-FG | 807-023M-FG,807-010M-FG,14,,,https://www.nti.de/userdata/dcshop/images/normal/277_807-010m-fg__a.jpg,5,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/inverted-cone-p9222/
NTI-807-016M-HP,NTI,NTI-Kahla GmbH,Inverted Cone,807-016M-HP,807-016M-HP | 807-018M-HP | 807-023M-HP,807-016M-HP,3,,,https://www.nti.de/userdata/dcshop/images/normal/3629_807-016m-hp__a.jpg,5,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/inverted-cone-p9224/
NTI-808-018M-HP,NTI,NTI-Kahla GmbH,Inverted Cone,808-018M-HP,808-018M-HP | 808-023M-HP,808-018M-HP,2,,,https://www.nti.de/userdata/dcshop/images/normal/3634_808-018m-hp__a.jpg,5,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/inverted-cone-p9227/
NTI-808-023M-FG,NTI,NTI-Kahla GmbH,Inverted Cone,808-023M-FG,808-023M-FG,808-023M-FG,1,,,https://www.nti.de/userdata/dcshop/images/normal/350_808-023m-fg__a.jpg,5,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/inverted-cone-p9226/
NTI-H2-008-FG,NTI,NTI-Kahla GmbH,Inverted Cone,H2-008-FG,H2-008-FG | H2-010-FG | H2-010-RA | H2-012-RA | H2-014-FG | H2-014-RA | H2-016-RA | H2-018-RA,H2-008-FG,8,,,https://www.nti.de/userdata/dcshop/images/normal/4589_h2-008-fg__a.jpg,4,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/inverted-cone-p9655/
NTI-H2-010-HP,NTI,NTI-Kahla GmbH,Inverted Cone,H2-010-HP,H2-010-HP | H2-012-HP | H2-014-HP | H2-016-HP,H2-010-HP,4,,,https://www.nti.de/userdata/dcshop/images/normal/4638_h2-010-hp__a.jpg,5,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/inverted-cone-p9686/
NTI-806-009M-FG,NTI,NTI-Kahla GmbH,Inverted Cone with Collar,806-009M-FG,806-009M-FG | 806-010C-FG | 806-010M-FG | 806-010M-FGM | 806-012C-FG | 806-012M-FG | 806-014C-FG | 806-014M-FG | 806-016C-FG | 806-016M-FG | 806-018C-FG | 806-018M-FG | 806-018SC-FG,806-009M-FG,13,,,https://www.nti.de/userdata/dcshop/images/normal/252_806-009m-fg__a.jpg,5,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/inverted-cone-with-collar-p9221/
NTI-809-023M-HP,NTI,NTI-Kahla GmbH,Inverted Cone with Collar,809-023M-HP,809-023M-HP,809-023M-HP,1,,,https://www.nti.de/userdata/dcshop/images/normal/3639_809-023m-hp__a.jpg,5,BRAND_OBSERVED_AT_KAZAKHSTAN_DISTRIBUTOR,KZ_SKU_EVIDENCE_REQUIRED,https://www.nti.de/en/inverted-cone-with-collar-p9228/
