brand,manufacturer,canonicalProductName,sourceName,manufacturerRef,variantLabel,referenceType
Interdent,Interdent d.o.o.,Interacryl Cast - пластмасса,Interacryl Cast · порошок · цвет 5 · 350 г,1569,Порошок · цвет 5 · 350 г,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Interacryl Cast - пластмасса,Interacryl Cast · порошок · цвет 10 · 350 г,1517,Порошок · цвет 10 · 350 г,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Interacryl Cast - пластмасса,Interacryl Cast · порошок · цвет 15 · 350 г,1582,Порошок · цвет 15 · 350 г,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Interacryl Cast - пластмасса,Interacryl Cast · жидкость · цвета 3/5/15 · 250 мл,1519,Жидкость · цвета 3/5/15 · 250 мл,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Interacryl Cast - пластмасса,Interacryl Cast · жидкость · цвет 10 · 250 мл,1551,Жидкость · цвет 10 · 250 мл,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Interacryl Cast - пластмасса,Interacryl Cast · порошок · цвет 3 · 1000 г,1549,Порошок · цвет 3 · 1000 г,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Interacryl Cast - пластмасса,Interacryl Cast · порошок · цвет 5 · 1000 г,1568,Порошок · цвет 5 · 1000 г,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Interacryl Cast - пластмасса,Interacryl Cast · порошок · цвет 10 · 1000 г,1548,Порошок · цвет 10 · 1000 г,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Interacryl Cast - пластмасса,Interacryl Cast · порошок · цвет 15 · 1000 г,1583,Порошок · цвет 15 · 1000 г,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Interacryl Cast - пластмасса,Interacryl Cast · жидкость · цвета 3/5/15 · 500 мл,1550,Жидкость · цвета 3/5/15 · 500 мл,MANUFACTURER_REF
Interdent,Interdent d.o.o.,Interacryl Cast - пластмасса,Interacryl Cast · жидкость · цвет 10 · 500 мл,1552,Жидкость · цвет 10 · 500 мл,MANUFACTURER_REF
